state_name,county_name,year,Value,is_estimated
OR,BENTON,2022,54.0,False
OR,CLACKAMAS,2022,207.0,False
OR,CLATSOP,2022,5.0,False
OR,COLUMBIA,2022,21.0,False
OR,LANE,2022,192.0,False
OR,LINCOLN,2022,16.0,False
OR,LINN,2022,135.0,False
OR,MARION,2022,126.0,False
OR,MULTNOMAH,2022,79.0,False
OR,POLK,2022,141.0,False
OR,TILLAMOOK,2022,8.0,False
OR,WASHINGTON,2022,249.0,False
OR,YAMHILL,2022,72.0,False
OR,HOOD RIVER,2022,1049.0,False
OR,MORROW,2022,4.0,False
OR,BAKER,2022,18.0,False
OR,UMATILLA,2022,2009.0,False
OR,COOS,2022,16.0,False
OR,CURRY,2022,18.0,False
OR,DOUGLAS,2022,100.0,False
OR,JACKSON,2022,388.0,False
OR,JOSEPHINE,2022,23.0,False
OR,DESCHUTES,2022,7.0,False
OR,GRANT,2022,1.0,False
WA,CLALLAM,2022,38.0,False
WA,CLARK,2022,34.0,False
WA,COWLITZ,2022,10.0,False
WA,GRAYS HARBOR,2022,3.0,False
WA,ISLAND,2022,16.0,False
WA,JEFFERSON,2022,56.0,False
WA,KING,2022,90.0,False
WA,KITSAP,2022,43.0,False
WA,LEWIS,2022,28.0,False
WA,MASON,2022,5.0,False
WA,PACIFIC,2022,4.0,False
WA,PIERCE,2022,65.0,False
WA,SAN JUAN,2022,54.0,False
WA,SKAGIT,2022,169.0,False
WA,SKAMANIA,2022,23.0,False
WA,SNOHOMISH,2022,87.0,False
WA,THURSTON,2022,30.0,False
WA,WAHKIAKUM,2022,3.0,False
WA,WHATCOM,2022,244.0,False
WA,BENTON,2022,6992.0,False
WA,CHELAN,2022,8360.0,False
WA,KITTITAS,2022,945.0,False
WA,KLICKITAT,2022,1127.0,False
WA,OKANOGAN,2022,18133.0,False
WA,YAKIMA,2022,53703.0,False
WA,FERRY,2022,6.0,False
WA,SPOKANE,2022,91.0,False
WA,STEVENS,2022,18.0,False
WA,ADAMS,2022,5608.0,False
WA,DOUGLAS,2022,9666.0,False
WA,FRANKLIN,2022,9936.0,False
WA,GRANT,2022,61627.0,False
WA,LINCOLN,2022,5.0,False
WA,COLUMBIA,2022,278.0,False
WA,WALLA WALLA,2022,11431.0,False
WA,WHITMAN,2022,43.0,False
CA,DEL NORTE,2022,4.0,False
CA,HUMBOLDT,2022,39.0,False
CA,MENDOCINO,2022,493.0,False
CA,SHASTA,2022,32.0,False
CA,SISKIYOU,2022,11.0,False
CA,TRINITY,2022,4.0,False
CA,LASSEN,2022,6.0,False
CA,MODOC,2022,4.0,False
CA,CONTRA COSTA,2022,15.0,False
CA,LAKE,2022,5.0,False
CA,MARIN,2022,13.0,False
CA,MONTEREY,2022,18.0,False
CA,NAPA,2022,7.0,False
CA,SAN BENITO,2022,292.0,False
CA,SAN LUIS OBISPO,2022,73.0,False
CA,SAN MATEO,2022,18.0,False
CA,SANTA CLARA,2022,30.0,False
CA,SANTA CRUZ,2022,2688.0,False
CA,SONOMA,2022,1385.0,False
CA,BUTTE,2022,30.0,False
CA,COLUSA,2022,5.0,False
CA,SACRAMENTO,2022,155.0,False
CA,TEHAMA,2022,2.0,False
CA,YOLO,2022,6.0,False
CA,YUBA,2022,6.0,False
CA,FRESNO,2022,68.0,False
CA,KERN,2022,866.0,False
CA,MADERA,2022,25.0,False
CA,SAN JOAQUIN,2022,1685.0,False
CA,STANISLAUS,2022,974.0,False
CA,TULARE,2022,55.0,False
CA,AMADOR,2022,2.0,False
CA,CALAVERAS,2022,24.0,False
CA,EL DORADO,2022,465.0,False
CA,NEVADA,2022,64.0,False
CA,PLACER,2022,62.0,False
CA,SIERRA,2022,6.0,False
CA,TUOLUMNE,2022,139.0,False
CA,LOS ANGELES,2022,7.0,False
CA,RIVERSIDE,2022,66.0,False
CA,SAN BERNARDINO,2022,169.0,False
CA,SAN DIEGO,2022,264.0,False
CA,VENTURA,2022,13.0,False
NV,CHURCHILL,2022,6.0,False
NV,LYON,2022,10.0,False
NV,ELKO,2022,7.0,False
NV,WHITE PINE,2022,32.0,False
NV,NYE,2022,19.0,False
ID,BONNER,2022,33.0,False
ID,BOUNDARY,2022,10.0,False
ID,IDAHO,2022,11.0,False
ID,KOOTENAI,2022,10.0,False
ID,LATAH,2022,16.0,False
ID,SHOSHONE,2022,3.0,True
ID,ADA,2022,17.0,False
ID,ADAMS,2022,7.0,False
ID,BOISE,2022,5.0,False
ID,WASHINGTON,2022,20.0,False
ID,TWIN FALLS,2022,10.0,False
ID,BANNOCK,2022,14.0,False
ID,BINGHAM,2022,16.0,False
ID,BONNEVILLE,2022,12.0,False
ID,FRANKLIN,2022,6.0,False
ID,JEFFERSON,2022,7.0,False
ID,LEMHI,2022,8.0,False
MT,FLATHEAD,2022,55.0,False
MT,LAKE,2022,56.0,False
MT,LINCOLN,2022,5.0,False
MT,MINERAL,2022,2.0,False
MT,MISSOULA,2022,28.0,False
MT,RAVALLI,2022,106.0,False
MT,SANDERS,2022,8.0,False
MT,GOLDEN VALLEY,2022,1.0,False
MT,LEWIS AND CLARK,2022,41.0,False
MT,GALLATIN,2022,16.0,False
MT,JEFFERSON,2022,5.0,False
MT,MADISON,2022,1.0,False
MT,CARBON,2022,35.0,False
MT,PARK,2022,4.0,False
MT,STILLWATER,2022,4.0,False
MT,YELLOWSTONE,2022,8.0,False
