state_name,county_name,year,Value,is_estimated
OR,BENTON,2022,1020.0,False
OR,CLACKAMAS,2022,252.0,False
OR,LINN,2022,1428.0,False
OR,MARION,2022,3199.0,False
OR,MULTNOMAH,2022,1658.0,False
OR,TILLAMOOK,2022,2089.0,False
OR,WASHINGTON,2022,1823.0,False
OR,YAMHILL,2022,2551.0,False
OR,BAKER,2022,1887.0,False
OR,UMATILLA,2022,2438.0,False
OR,UNION,2022,644.0,False
OR,JEFFERSON,2022,948.0,False
OR,MALHEUR,2022,3650.0,False
WA,CLALLAM,2022,194.0,False
WA,ISLAND,2022,300.0,False
WA,KING,2022,1223.0,False
WA,PIERCE,2022,3.0,False
WA,SAN JUAN,2022,826.0,False
WA,SKAGIT,2022,8373.0,False
WA,SNOHOMISH,2022,8287.0,False
WA,WHATCOM,2022,10402.0,False
WA,BENTON,2022,1116.0,False
WA,OKANOGAN,2022,893.0,False
WA,YAKIMA,2022,33812.0,False
WA,ADAMS,2022,3241.0,False
WA,DOUGLAS,2022,155.0,False
WA,FRANKLIN,2022,9638.0,False
WA,GRANT,2022,18590.0,False
CA,HUMBOLDT,2022,756.0,False
CA,SONOMA,2022,372.0,False
CA,GLENN,2022,3457.0,False
CA,SACRAMENTO,2022,14358.0,False
CA,SOLANO,2022,2346.0,False
CA,TEHAMA,2022,744.0,False
CA,YUBA,2022,981.0,False
CA,FRESNO,2022,27389.0,False
CA,KERN,2022,36155.0,False
CA,KINGS,2022,49906.0,False
CA,MADERA,2022,21400.0,False
CA,MERCED,2022,98715.0,False
CA,SAN JOAQUIN,2022,51836.0,False
CA,STANISLAUS,2022,49163.0,False
CA,TULARE,2022,117066.0,False
CA,IMPERIAL,2022,5993.0,False
CA,SAN BERNARDINO,2022,1650.0,False
NV,CHURCHILL,2022,3513.0,False
NV,HUMBOLDT,2022,2627.0,False
NV,LYON,2022,2651.0,False
NV,EUREKA,2022,216.0,False
ID,ADA,2022,6446.0,False
ID,CANYON,2022,23669.0,False
ID,ELMORE,2022,8473.0,False
ID,GEM,2022,417.0,False
ID,OWYHEE,2022,11115.0,False
ID,PAYETTE,2022,5733.0,False
ID,WASHINGTON,2022,874.0,False
ID,CAMAS,2022,940.0,False
ID,CASSIA,2022,38193.0,False
ID,GOODING,2022,44114.0,False
ID,JEROME,2022,25138.0,False
ID,LINCOLN,2022,9211.0,False
ID,MINIDOKA,2022,11907.0,False
ID,TWIN FALLS,2022,41145.0,False
ID,BINGHAM,2022,7238.0,False
ID,BONNEVILLE,2022,5876.0,False
ID,BUTTE,2022,252.0,False
ID,CARIBOU,2022,309.0,False
ID,CLARK,2022,1518.0,False
ID,FRANKLIN,2022,5361.0,False
ID,FREMONT,2022,233.0,False
ID,JEFFERSON,2022,7533.0,False
ID,MADISON,2022,793.0,False
ID,POWER,2022,904.0,False
MT,LAKE,2022,666.0,False
MT,PHILLIPS,2022,1095.0,False
MT,PONDERA,2022,748.0,False
MT,DAWSON,2022,984.0,False
MT,GARFIELD,2022,640.0,False
MT,MCCONE,2022,1133.0,False
MT,RICHLAND,2022,5300.0,False
MT,ROOSEVELT,2022,451.0,False
MT,VALLEY,2022,1140.0,False
MT,BROADWATER,2022,837.0,False
MT,MUSSELSHELL,2022,1020.0,False
MT,GALLATIN,2022,1549.0,False
MT,BIG HORN,2022,1016.0,False
MT,CARBON,2022,2815.0,False
MT,STILLWATER,2022,627.0,False
MT,TREASURE,2022,3051.0,False
MT,YELLOWSTONE,2022,3970.0,False
MT,CUSTER,2022,4466.0,False
MT,FALLON,2022,2894.0,False
MT,PRAIRIE,2022,1338.0,False
MT,ROSEBUD,2022,2076.0,False
