state_name,county_name,year,Value,is_estimated
OR,BENTON,2022,15109.0,False
OR,CLACKAMAS,2022,3551.0,False
OR,LANE,2022,3905.0,False
OR,LINN,2022,44831.0,False
OR,MARION,2022,39003.0,False
OR,POLK,2022,22721.0,False
OR,WASHINGTON,2022,20964.0,False
OR,YAMHILL,2022,25305.0,False
OR,MORROW,2022,1623.0,False
OR,UMATILLA,2022,4212.0,False
OR,UNION,2022,2581.0,False
WA,COWLITZ,2022,4694.0,False
WA,LEWIS,2022,2874.0,False
WA,ADAMS,2022,927.0,False
WA,FRANKLIN,2022,1702.0,False
WA,GRANT,2022,1470.0,False
ID,LATAH,2022,1150.0,False
ID,LEWIS,2022,1220.0,False
