state_name,county_name,year,Value,is_estimated
OR,BENTON,2022,8660.0,False
OR,CLACKAMAS,2022,1291.0,False
OR,LANE,2022,8814.0,False
OR,LINN,2022,85483.0,False
OR,MARION,2022,35741.0,False
OR,POLK,2022,20976.0,False
OR,WASHINGTON,2022,1801.0,False
OR,YAMHILL,2022,12111.0,False
OR,MORROW,2022,4991.0,False
OR,UMATILLA,2022,10228.0,False
OR,JEFFERSON,2022,1980.0,False
WA,COWLITZ,2022,2048.0,False
WA,FRANKLIN,2022,1612.0,False
WA,GRANT,2022,765.0,False
WA,WALLA WALLA,2022,1182.0,False
ID,LATAH,2022,13.0,False
