state_name,county_name,year,Value,is_estimated
OR,BENTON,2022,10875.0,False
OR,CLACKAMAS,2022,8769.0,False
OR,LANE,2022,3964.0,False
OR,LINN,2022,10915.0,False
OR,MARION,2022,19870.0,False
OR,MULTNOMAH,2022,9.0,False
OR,POLK,2022,5368.0,False
OR,WASHINGTON,2022,8903.0,False
OR,YAMHILL,2022,17938.0,False
OR,DOUGLAS,2022,439.0,False
OR,JACKSON,2022,13.0,False
WA,ISLAND,2022,12.0,False
WA,KING,2022,1.0,False
WA,KITSAP,2022,1.0,False
WA,LEWIS,2022,113.0,False
WA,MASON,2022,1.0,False
WA,PIERCE,2022,9.0,False
WA,SAN JUAN,2022,4.0,False
WA,SNOHOMISH,2022,13.0,False
WA,THURSTON,2022,21.0,False
WA,WHATCOM,2022,313.0,False
WA,BENTON,2022,11.0,False
WA,OKANOGAN,2022,1.0,False
WA,YAKIMA,2022,149.0,False
WA,FRANKLIN,2022,372.0,False
CA,HUMBOLDT,2022,3.0,False
CA,SONOMA,2022,22.0,False
CA,AMADOR,2022,20.0,False
ID,KOOTENAI,2022,5.0,False
