state_name,county_name,year,farms,land_owned_acres,land_rented_acres,cropland_acres,harvested_cropland_acres,irrigated_acres,land_in_farms_acres
CALIFORNIA,ALAMEDA,2022,397,63035.0,95465.0,14619.0,8145.0,7361.0,158500.0
CALIFORNIA,ALPINE,2022,4,,,,,,0.0
CALIFORNIA,AMADOR,2022,445,74208.0,58357.0,9434.0,5484.0,9115.0,132565.0
CALIFORNIA,BUTTE,2022,1667,233775.0,154608.0,207138.0,177975.0,180090.0,388383.0
CALIFORNIA,CALAVERAS,2022,603,98289.0,123202.0,4685.0,2788.0,4428.0,221491.0
CALIFORNIA,COLUSA,2022,715,212544.0,253299.0,276014.0,169808.0,171743.0,465843.0
CALIFORNIA,CONTRA COSTA,2022,405,85221.0,123727.0,26729.0,9869.0,12303.0,208948.0
CALIFORNIA,DEL NORTE,2022,54,,,6866.0,5773.0,7593.0,0.0
CALIFORNIA,EL DORADO,2022,1204,50883.0,42356.0,9246.0,4958.0,5092.0,93239.0
CALIFORNIA,FRESNO,2022,4427,1140266.0,519185.0,1182023.0,988985.0,985055.0,1659451.0
CALIFORNIA,GLENN,2022,1084,258492.0,225680.0,241032.0,186455.0,198569.0,484172.0
CALIFORNIA,HUMBOLDT,2022,721,283441.0,261189.0,15970.0,9529.0,11678.0,544630.0
CALIFORNIA,IMPERIAL,2022,482,200180.0,536406.0,702024.0,634602.0,623755.0,736586.0
CALIFORNIA,INYO,2022,63,32520.0,224640.0,13854.0,6574.0,19077.0,257160.0
CALIFORNIA,KERN,2022,1691,1350269.0,1049243.0,994576.0,812470.0,817526.0,2399512.0
CALIFORNIA,KINGS,2022,862,459240.0,133959.0,452269.0,353187.0,350462.0,593199.0
CALIFORNIA,LAKE,2022,581,82815.0,55215.0,19386.0,15303.0,13204.0,138030.0
CALIFORNIA,LASSEN,2022,419,340487.0,253463.0,84824.0,62939.0,82674.0,593950.0
CALIFORNIA,LOS ANGELES,2022,766,16521.0,52703.0,30500.0,20422.0,14057.0,69224.0
CALIFORNIA,MADERA,2022,1255,522213.0,171398.0,390554.0,326426.0,333171.0,693611.0
CALIFORNIA,MARIN,2022,255,65461.0,56382.0,18725.0,8418.0,,121843.0
CALIFORNIA,MARIPOSA,2022,388,91169.0,149259.0,3797.0,2154.0,4116.0,240428.0
CALIFORNIA,MENDOCINO,2022,975,422151.0,255636.0,60650.0,28834.0,25341.0,677787.0
CALIFORNIA,MERCED,2022,2047,561541.0,310785.0,550570.0,495422.0,500340.0,872326.0
CALIFORNIA,MODOC,2022,426,387021.0,146761.0,170943.0,128573.0,129834.0,533782.0
CALIFORNIA,MONO,2022,61,33806.0,27257.0,18647.0,17291.0,27777.0,61063.0
CALIFORNIA,MONTEREY,2022,1057,848796.0,489681.0,363670.0,313320.0,314410.0,1338477.0
CALIFORNIA,NAPA,2022,1772,198538.0,43865.0,68190.0,59608.0,59440.0,242403.0
CALIFORNIA,NEVADA,2022,620,31989.0,32196.0,4133.0,1334.0,5260.0,64185.0
CALIFORNIA,ORANGE,2022,158,25358.0,12300.0,5114.0,3299.0,3241.0,37658.0
CALIFORNIA,PLACER,2022,1093,37425.0,47473.0,22264.0,11068.0,16189.0,84898.0
CALIFORNIA,PLUMAS,2022,161,87105.0,13903.0,17908.0,13836.0,21002.0,101008.0
CALIFORNIA,RIVERSIDE,2022,2424,214320.0,147650.0,234583.0,183926.0,172127.0,361970.0
CALIFORNIA,SACRAMENTO,2022,1118,119340.0,137277.0,134941.0,112638.0,109549.0,256617.0
CALIFORNIA,SAN BENITO,2022,539,292437.0,252100.0,48007.0,36596.0,31943.0,544537.0
CALIFORNIA,SAN BERNARDINO,2022,809,22249.0,14410.0,18906.0,15210.0,15496.0,36659.0
CALIFORNIA,SAN DIEGO,2022,4031,141712.0,37618.0,55411.0,37953.0,38384.0,179330.0
CALIFORNIA,SAN FRANCISCO,2022,7,,,,,,0.0
CALIFORNIA,SAN JOAQUIN,2022,3439,491235.0,371121.0,614128.0,544181.0,566269.0,862356.0
CALIFORNIA,SAN LUIS OBISPO,2022,2184,559725.0,361575.0,231838.0,105880.0,94787.0,921300.0
CALIFORNIA,SAN MATEO,2022,250,29526.0,15359.0,7003.0,3131.0,4803.0,44885.0
CALIFORNIA,SANTA BARBARA,2022,1359,358507.0,263156.0,151355.0,114888.0,113585.0,621663.0
CALIFORNIA,SANTA CLARA,2022,825,120002.0,125189.0,25318.0,21727.0,19237.0,245191.0
CALIFORNIA,SANTA CRUZ,2022,614,18912.0,28959.0,21984.0,19389.0,18615.0,47871.0
CALIFORNIA,SHASTA,2022,1120,165524.0,120590.0,46940.0,30222.0,38466.0,286114.0
CALIFORNIA,SIERRA,2022,49,48100.0,17368.0,5087.0,,9522.0,65468.0
CALIFORNIA,SISKIYOU,2022,655,478969.0,193806.0,169826.0,112282.0,129449.0,672775.0
CALIFORNIA,SOLANO,2022,712,115617.0,223859.0,162145.0,130097.0,128058.0,339476.0
CALIFORNIA,SONOMA,2022,3097,286769.0,180041.0,131237.0,106912.0,87259.0,466810.0
CALIFORNIA,STANISLAUS,2022,3455,434835.0,250310.0,432109.0,405010.0,412711.0,685145.0
CALIFORNIA,SUTTER,2022,890,137732.0,120263.0,199339.0,143471.0,141061.0,257995.0
CALIFORNIA,TEHAMA,2022,1154,290873.0,337040.0,99441.0,63838.0,74094.0,627913.0
CALIFORNIA,TRINITY,2022,139,33753.0,23371.0,1558.0,765.0,1027.0,57124.0
CALIFORNIA,TULARE,2022,3713,971641.0,339127.0,759238.0,625918.0,617379.0,1310768.0
CALIFORNIA,TUOLUMNE,2022,326,61595.0,66129.0,2542.0,550.0,1534.0,127724.0
CALIFORNIA,VENTURA,2022,1812,191478.0,109089.0,139944.0,98145.0,96124.0,300567.0
CALIFORNIA,YOLO,2022,795,240138.0,238417.0,271083.0,197402.0,190546.0,478555.0
CALIFORNIA,YUBA,2022,760,107235.0,53183.0,99158.0,82666.0,88802.0,160418.0
NEVADA,CARSON CITY,2022,23,,,,,,0.0
NEVADA,CHURCHILL,2022,540,154710.0,15414.0,38866.0,32826.0,36881.0,170124.0
NEVADA,CLARK,2022,164,,,3762.0,2322.0,2776.0,0.0
NEVADA,DOUGLAS,2022,246,110890.0,10341.0,23119.0,19946.0,31754.0,121231.0
NEVADA,ELKO,2022,437,1688697.0,393142.0,164694.0,91254.0,149945.0,2081839.0
NEVADA,ESMERALDA,2022,20,15779.0,2936.0,12560.0,10414.0,10979.0,18715.0
NEVADA,EUREKA,2022,110,531919.0,70943.0,45552.0,37367.0,52412.0,602862.0
NEVADA,HUMBOLDT,2022,266,731921.0,214003.0,122170.0,99461.0,133812.0,945924.0
NEVADA,LANDER,2022,87,,,48367.0,36914.0,39760.0,0.0
NEVADA,LINCOLN,2022,111,30806.0,8330.0,17135.0,16349.0,17763.0,39136.0
NEVADA,LYON,2022,280,170046.0,16949.0,62407.0,50214.0,60107.0,186995.0
NEVADA,MINERAL,2022,69,,1614.0,,,,1614.0
NEVADA,NYE,2022,173,42428.0,7206.0,19487.0,12509.0,18622.0,49634.0
NEVADA,PERSHING,2022,138,189378.0,104590.0,49496.0,41138.0,41358.0,293968.0
NEVADA,STOREY,2022,4,,,,,,0.0
NEVADA,WASHOE,2022,314,466136.0,10901.0,10664.0,8006.0,21980.0,477037.0
NEVADA,WHITE PINE,2022,140,163315.0,52617.0,31623.0,25124.0,46407.0,215932.0
OREGON,BAKER,2022,676,612605.0,302924.0,151817.0,85299.0,103243.0,915529.0
OREGON,BENTON,2022,995,56985.0,40613.0,65805.0,59554.0,25790.0,97598.0
OREGON,CLACKAMAS,2022,4156,118110.0,39827.0,81794.0,69344.0,25076.0,157937.0
OREGON,CLATSOP,2022,211,12929.0,5542.0,6257.0,4942.0,1694.0,18471.0
OREGON,COLUMBIA,2022,723,38882.0,10394.0,12706.0,9938.0,1610.0,49276.0
OREGON,COOS,2022,543,107244.0,26011.0,15224.0,10484.0,8966.0,133255.0
OREGON,CROOK,2022,609,645347.0,187498.0,58629.0,44448.0,58778.0,832845.0
OREGON,CURRY,2022,169,28576.0,16158.0,3117.0,2423.0,3456.0,44734.0
OREGON,DESCHUTES,2022,1572,123785.0,29215.0,32209.0,23664.0,34927.0,153000.0
OREGON,DOUGLAS,2022,1811,236299.0,93260.0,49387.0,36344.0,17489.0,329559.0
OREGON,GILLIAM,2022,155,439533.0,151384.0,226486.0,82409.0,9849.0,590917.0
OREGON,GRANT,2022,374,453428.0,181953.0,62210.0,41779.0,38853.0,635381.0
OREGON,HARNEY,2022,477,1217269.0,262415.0,183917.0,133857.0,122421.0,1479684.0
OREGON,HOOD RIVER,2022,497,22158.0,4465.0,18219.0,16114.0,16702.0,26623.0
OREGON,JACKSON,2022,2396,149859.0,53005.0,44474.0,28324.0,41424.0,202864.0
OREGON,JEFFERSON,2022,348,455427.0,86917.0,66351.0,30798.0,31675.0,542344.0
OREGON,JOSEPHINE,2022,605,27028.0,3535.0,10636.0,8349.0,9758.0,30563.0
